sample,fastq_1,fastq_2,strandedness
A1_S1,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A1_S1_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A1_S1_R2_001.fastq.gz,reverse
A20_S58,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A20_S58_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A20_S58_R2_001.fastq.gz,reverse
A21_S66,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A21_S66_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A21_S66_R2_001.fastq.gz,reverse
A22_S74,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A22_S74_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A22_S74_R2_001.fastq.gz,reverse
A23_S82,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A23_S82_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A23_S82_R2_001.fastq.gz,reverse
A24_S90,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A24_S90_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A24_S90_R2_001.fastq.gz,reverse
A25_S3,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A25_S3_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A25_S3_R2_001.fastq.gz,reverse
A26_S11,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A26_S11_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A26_S11_R2_001.fastq.gz,reverse
A27_S19,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A27_S19_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A27_S19_R2_001.fastq.gz,reverse
A28_S27,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A28_S27_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A28_S27_R2_001.fastq.gz,reverse
